Latitude,Longitude,Ward,Community Area,Date,Block,IUCR,Primary Type,Arrest,Domestic,Beat,District,FBI Code,Year,Month,Day,Hour,Severity,Season
41.86668568,-87.66342658,49.0,1.0,2007-08-25 09:22:00,074XX N ROGERS AVE,560,ASSAULT,False,False,2422,24,08A,2007,8,25,9,Severe,Summer
41.91783806,-87.75596897,36.0,19.0,2021-05-24 15:06:00,020XX N LARAMIE AVE,110,HOMICIDE,True,False,2515,25,01A,2021,5,24,15,Severe,Spring
41.99521944,-87.71335491,50.0,13.0,2021-06-26 09:24:00,062XX N MC CORMICK RD,110,HOMICIDE,True,False,1711,17,01A,2021,6,26,9,Severe,Summer
41.95234509,-87.67797506,47.0,5.0,2023-11-09 07:30:00,019XX W BYRON ST,620,BURGLARY,False,False,1922,19,5,2023,11,9,7,Other,Fall
41.73775077,-87.60485591,6.0,44.0,2023-11-12 07:59:00,086XX S COTTAGE GROVE AVE,454,BATTERY,True,False,632,6,08B,2023,11,12,7,Severe,Fall
41.86668568,-87.66342658,21.0,32.0,2002-01-05 21:24:00,007XX E 103 ST,820,THEFT,True,False,512,5,6,2002,1,5,21,Less Severe,Winter
41.88601806,-87.63393788,42.0,32.0,2023-09-06 17:00:00,002XX N Wells st,1320,CRIMINAL DAMAGE,False,False,122,1,14,2023,9,6,17,Less Severe,Fall
41.87756511,-87.68479102,27.0,28.0,2023-08-31 12:00:00,023XX W JACKSON BLVD,1153,DECEPTIVE PRACTICE,False,False,1225,12,11,2023,8,31,12,Other,Summer
41.7619185,-87.57620925,7.0,43.0,2023-07-24 21:45:00,073XX S JEFFERY BLVD,281,CRIMINAL SEXUAL ASSAULT,False,False,333,3,2,2023,7,24,21,Other,Summer
41.94337853,-87.7199738,30.0,21.0,2023-08-27 07:00:00,034XX N LAWNDALE AVE,820,THEFT,False,False,1732,17,6,2023,8,27,7,Less Severe,Summer
41.79647741,-87.70854092,14.0,63.0,2023-09-04 21:30:00,053XX S HOMAN AVE,1310,CRIMINAL DAMAGE,False,False,822,8,14,2023,9,4,21,Less Severe,Fall
41.7526888,-87.70490879,18.0,70.0,2023-08-15 14:20:00,077XX S SPAULDING AVE,810,THEFT,False,False,835,8,6,2023,8,15,14,Less Severe,Summer
41.75812617,-87.63158251,6.0,69.0,2023-07-24 16:09:00,002XX W 75TH ST,1120,DECEPTIVE PRACTICE,False,False,731,7,10,2023,7,24,16,Other,Summer
41.73149773,-87.65807457,21.0,73.0,2023-09-03 10:27:00,089XX S LOOMIS ST,890,THEFT,False,False,2222,22,6,2023,9,3,10,Less Severe,Fall
41.76482708,-87.67170912,17.0,67.0,2023-08-17 07:00:00,019XX W 71ST ST,820,THEFT,False,False,735,7,6,2023,8,17,7,Less Severe,Summer
41.83765193,-87.64140409,11.0,60.0,2023-08-24 14:27:00,031XX S WALLACE ST,1110,DECEPTIVE PRACTICE,False,False,915,9,11,2023,8,24,14,Other,Summer
